Text,Is_PII
what is the price for round trip between toronto and new york,0
trying to find a good deal and good timing to go from New york to Baltimore (BWI),0
trying to plan route penn ny to montgomery ny. can you help me?,
"Hi does the 54 Vermonter train go from Newark, no to Hartford, ct without any transfers",
is there a train service from los angeles ca to san franciso ca?,
"I have clicked on the price for a coach seat, but when I enter ""add to cart"" it keeps coming back ""select price."" That's pretty use.less",
I purchased a ticket for my son this summer that I never used. I am now trying to track down information on the ticket so that I can use it. Can you help?,
"Hi, I want to travel from Boston (south Station) to NY Penn Station on 5th january at 9:36 pm from Boston. The route is 67 Northeast Regional.",
is there a difference in price between upper level & lower level?,
"on Wednsday, June 22 train numbr 2155 NYC to Washington DC with a first class ticket, is a free meal included ?",
do you have seats available for this evening for travel from Chicago to Springfield,
"what is the travel time from Houston, TX to Quincy, IL by train?",
"I reserved a train trip with one thruway bus seat, I have no information about that reservation on my e-ticket",
I want to know the cheapest evening train fromNYP to WAS thisFriday.,
"I've entered the destination city, the arrival city, the departure date and the time, but when I click find trains, it does not execute the search for me. Is there another way to check availability?",
I am not sure that the trip I just booked went through,
Can you get off the train and stay the night in city,
can i take my pet witm me iam planing on traveling from chicago il to salt lake city ut,
i want to know what site for cname-- to apply for jobr,
how much is round trip from Anaheim tostation to El Paso Texas,
There is an error message when I tried to purchase my tickets please help,
"I have a member number, how do I apply it to my travel this week",
I live in florida and want to take the train to boston,
Can my ticket be used to board at a different stop along the way?,
"If I have a ticket for a certain time but could use an earlier ticket, what do I do?",
"i cannot purchase ticket. notice says i have an invalid character, which i do not.",
"I purchased a round trip ticket to Kingston, Rhode Island for Friday November 13 and can't find my ticket - don't remember if I printed my ticket out - can you help me",
I bought a ticket for a train trip tomorrow. Now I need to leave today can I use my existing ticket and pay the difference,
do i need to print tickets bought online or show on phone,
what would the cost for 2 adult from Toronto going to New York from Dec4-Dec6 Round Trip,
"I live in Canton, Il. Want to go to Jackson, Mi. Not understanding the printed schedules online.",
I need to get from newark De to American University can you help me out?,
hello. i just wanted to know if theirs pet allowed in the train?,
I am trying to get a quote leaving Indianapolis going to Wisconsin,
"Can the cname- employee (children) passes be used for the Wilkes-Barre, PA Bus Station or do we need to purchase a ticket?",
hello is there free wifi on the car train from Lorton va to,
"I would like to take the train from Palm Springs Ca to Escondido, Ca",
How much time do I need to allow to be at the station before departure,
