word,label
"Hello,",O
you,O
have,O
called,O
virtual,ORGANIZATION
bank.,ORGANIZATION
This,O
is,O
Sarah,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
Hey,O
"sir,",PERSON
I,O
would,O
to,O
refund,O
my,O
money,O
back.,O
Could,O
you,O
tell,O
me,O
why,O
you,O
want,O
to,O
refund,O
your,O
money?,O
I,O
bought,O
something,O
at,O
the,O
shop,O
with,O
my,O
debit,O
card,O
on,O
the,DATE
2nd,DATE
of,DATE
December,DATE
2019,DATE
and,O
it,O
debited,O
my,O
money,O
twice.,O
Okay.,O
What,O
is,O
your,O
name,O
Madam?,O
My,O
name,O
is,O
Amy,PERSON
golf,PERSON
golf.,PERSON
"Okay,",O
I,O
have,O
Amy,PERSON
Gough,PERSON
Gough,PERSON
and,O
where,O
did,O
you,O
use,O
the,O
debit,O
card,O
to,O
buy,O
something?,O
I,O
bought,O
a,O
bag,O
at,O
Mega,LOCATION
bangna,LOCATION
it,O
costs,O
$800 ,MONEY
were,O
so,O
sorry.,O
In,O
this,O
case.,O
We,O
could,O
not,O
refund,O
your,O
money,O
back.,O
You,O
have,O
to,O
talk,O
with,O
the,O
store,O
that,O
you,O
bought,O
and,O
they,O
will,O
manage.,O
Judge,O
this,O
"oh,",O
really?,O
I,O
do,O
not,O
even,O
know.,O
Yes,O
madam.,O
We're,O
so,O
"sorry,",O
but,O
we,O
could,O
not,O
fix,O
this,O
problem,O
the,O
store,O
handles,O
about,O
this.,O
"Okay,",O
nevermind.,O
Thanks.,O
Would,O
you,O
like,O
another,O
service?,O
That,O
is,O
all,O
thanks.,O
Thank,O
you,O
for,O
using,O
our,O
service.,O
Have,O
a,O
good,O
day.,O
